smoothed;3
(;h;i; ;e;v;r;y;b;o;d;w;l;c;m;t;j;s;);a;p;g;u;f;n;x;k;.;z;q;,;#
oh;0.000585;0.001170;0.050877;0.641520;0.022222;0.000585;0.000585;0.000585;0.000585;0.012865;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585;0.002924;0.078947;0.002924;0.000585;0.000585;0.001754;0.000585;0.171930;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585
oi;0.000225;0.000225;0.000225;0.000676;0.000676;0.000225;0.001127;0.000225;0.000225;0.000225;0.010365;0.000225;0.034250;0.047093;0.000225;0.009464;0.000225;0.020054;0.000225;0.001577;0.000225;0.000225;0.000225;0.000225;0.869761;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225
o ;0.000023;0.057451;0.081661;0.002545;0.015494;0.008806;0.024818;0.050672;0.053577;0.028241;0.047519;0.070851;0.020269;0.032025;0.038151;0.187622;0.009999;0.066797;0.000586;0.071707;0.032340;0.037948;0.008828;0.017319;0.021958;0.000068;0.011058;0.000113;0.000135;0.001284;0.000113;0.000023
oe;0.000400;0.001200;0.006397;0.066773;0.000400;0.029988;0.002399;0.001999;0.001200;0.000400;0.005198;0.000400;0.001599;0.001999;0.002799;0.007597;0.000400;0.846461;0.009596;0.000400;0.000400;0.000400;0.000400;0.000800;0.006797;0.001200;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400
ov;0.000216;0.000216;0.073914;0.004755;0.891939;0.000216;0.000216;0.001297;0.000216;0.003242;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.001081;0.018370;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216
or;0.000032;0.001507;0.034944;0.315776;0.112974;0.000032;0.038727;0.030488;0.001763;0.001859;0.037092;0.004456;0.021159;0.008688;0.036835;0.090180;0.000032;0.038374;0.052351;0.036258;0.026192;0.019908;0.001795;0.000224;0.016991;0.000032;0.071106;0.000032;0.000032;0.000096;0.000032;0.000032
oy;0.001808;0.001808;0.041591;0.291139;0.367089;0.001808;0.001808;0.001808;0.001808;0.007233;0.003617;0.001808;0.005425;0.012658;0.083183;0.001808;0.001808;0.041591;0.043400;0.059675;0.001808;0.001808;0.001808;0.007233;0.001808;0.001808;0.001808;0.001808;0.001808;0.001808;0.001808;0.001808
ob;0.000292;0.000292;0.012573;0.108187;0.045322;0.047661;0.001754;0.000585;0.051170;0.092398;0.000292;0.000292;0.175731;0.000292;0.000292;0.004094;0.008772;0.090936;0.023977;0.326316;0.000292;0.000292;0.003801;0.001754;0.000585;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292
oo;0.000158;0.001419;0.001104;0.068422;0.001419;0.001261;0.072994;0.000158;0.000788;0.000315;0.210941;0.000158;0.072206;0.001261;0.039729;0.049188;0.000158;0.017815;0.013401;0.000158;0.028062;0.013243;0.000158;0.012455;0.024594;0.000158;0.364654;0.000158;0.002995;0.000158;0.000158;0.000158
od;0.000203;0.001016;0.016254;0.258635;0.075173;0.000203;0.000813;0.376676;0.001829;0.009752;0.060748;0.001829;0.002032;0.007314;0.000406;0.002032;0.000203;0.014222;0.046729;0.070093;0.000610;0.002641;0.045510;0.001625;0.001219;0.000203;0.000610;0.000406;0.000203;0.000406;0.000203;0.000203
ow;0.000050;0.001303;0.016633;0.662926;0.058818;0.000050;0.000100;0.000150;0.000651;0.000401;0.007315;0.000301;0.006663;0.000200;0.000150;0.001202;0.000050;0.028156;0.106914;0.012024;0.000100;0.000050;0.000451;0.000401;0.094539;0.000050;0.000050;0.000050;0.000050;0.000100;0.000050;0.000050
ol;0.000123;0.000246;0.249477;0.058896;0.100455;0.021886;0.000123;0.004795;0.002951;0.035534;0.144842;0.000123;0.245174;0.000123;0.001844;0.003320;0.000123;0.017952;0.009099;0.021763;0.000246;0.000123;0.059388;0.006025;0.001107;0.000123;0.013525;0.000123;0.000123;0.000123;0.000123;0.000123
oc;0.000190;0.013305;0.099031;0.001331;0.050371;0.000190;0.569473;0.000570;0.000190;0.005892;0.000190;0.000190;0.004182;0.023950;0.000190;0.023380;0.000190;0.000380;0.000570;0.064436;0.000190;0.000190;0.049990;0.000190;0.000190;0.000190;0.089907;0.000190;0.000190;0.000190;0.000190;0.000190
om;0.000074;0.000074;0.071772;0.187616;0.427968;0.000074;0.000148;0.016888;0.024517;0.009555;0.000074;0.000074;0.000370;0.002000;0.084957;0.000074;0.000074;0.005777;0.032961;0.034590;0.092438;0.000074;0.000222;0.004666;0.002370;0.000074;0.000074;0.000074;0.000148;0.000074;0.000074;0.000074
ot;0.000064;0.165046;0.049327;0.472020;0.165046;0.000064;0.000258;0.000386;0.002705;0.004250;0.000064;0.000193;0.000386;0.001095;0.000064;0.025050;0.000064;0.022281;0.071415;0.018932;0.000193;0.000064;0.000193;0.000129;0.000258;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064
oj;0.009259;0.009259;0.027778;0.046296;0.583333;0.009259;0.009259;0.009259;0.009259;0.046296;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.027778;0.027778;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259
os;0.000135;0.006057;0.097847;0.111036;0.388425;0.000135;0.000135;0.000673;0.000808;0.003230;0.000135;0.000135;0.001480;0.003634;0.000673;0.255316;0.000135;0.088425;0.016420;0.008748;0.010767;0.000135;0.003230;0.000135;0.000808;0.000135;0.000269;0.000135;0.000135;0.000404;0.000135;0.000135
o);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
oa;0.001206;0.006031;0.001206;0.021713;0.001206;0.001206;0.201448;0.001206;0.006031;0.001206;0.178528;0.001206;0.135103;0.086852;0.019300;0.144753;0.001206;0.077201;0.010856;0.001206;0.004825;0.001206;0.001206;0.009650;0.062726;0.009650;0.006031;0.001206;0.001206;0.001206;0.001206;0.001206
op;0.000101;0.010469;0.021039;0.076505;0.090799;0.000101;0.004127;0.002416;0.000101;0.018220;0.000302;0.000101;0.600866;0.000201;0.001913;0.014194;0.000101;0.029797;0.010066;0.028790;0.061405;0.000201;0.026877;0.000201;0.000403;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101;0.000101
og;0.000451;0.000451;0.067269;0.029345;0.170655;0.000451;0.534989;0.045598;0.001806;0.006772;0.000451;0.000451;0.034763;0.000451;0.000451;0.000451;0.000451;0.015350;0.005418;0.029345;0.000451;0.010835;0.020767;0.000451;0.018962;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451
ou;0.000020;0.000020;0.000610;0.322812;0.000020;0.004532;0.174160;0.000020;0.003862;0.000020;0.002805;0.000041;0.106825;0.001707;0.000122;0.172229;0.000020;0.038738;0.050852;0.000020;0.009410;0.040832;0.000020;0.000122;0.069957;0.000061;0.000020;0.000020;0.000041;0.000041;0.000020;0.000020
of;0.000059;0.000059;0.008999;0.758022;0.006335;0.000059;0.000178;0.000474;0.000059;0.001421;0.000178;0.000059;0.000414;0.000118;0.000059;0.009828;0.000118;0.000237;0.134162;0.000296;0.000118;0.000118;0.000474;0.077679;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059
on;0.000023;0.000047;0.008322;0.326487;0.144046;0.007134;0.000070;0.004010;0.000186;0.019186;0.021797;0.000396;0.021913;0.010490;0.002821;0.125490;0.000117;0.089775;0.053944;0.039258;0.000769;0.042032;0.002541;0.007180;0.070613;0.000186;0.000559;0.000443;0.000093;0.000023;0.000023;0.000023
ox;0.003717;0.007435;0.133829;0.553903;0.018587;0.003717;0.003717;0.044610;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717;0.014870;0.104089;0.003717;0.003717;0.003717;0.003717;0.011152;0.018587;0.011152;0.003717;0.003717;0.003717;0.003717;0.003717;0.003717
ok;0.000250;0.000750;0.056472;0.400300;0.149925;0.000250;0.000250;0.001249;0.000250;0.001499;0.000250;0.000250;0.013993;0.000250;0.000250;0.000250;0.000250;0.051474;0.052724;0.265617;0.000250;0.000250;0.000750;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250;0.000250
o.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
oz;0.010204;0.010204;0.051020;0.112245;0.377551;0.010204;0.010204;0.040816;0.010204;0.040816;0.010204;0.010204;0.020408;0.010204;0.020408;0.010204;0.010204;0.010204;0.020408;0.040816;0.010204;0.010204;0.010204;0.010204;0.020408;0.010204;0.010204;0.010204;0.040816;0.010204;0.010204;0.010204
oq;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
o,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
o#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
d(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
dh;0.012821;0.012821;0.076923;0.025641;0.025641;0.012821;0.012821;0.012821;0.012821;0.115385;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.256410;0.012821;0.166667;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
di;0.000089;0.000089;0.000089;0.012178;0.030667;0.016889;0.030311;0.000089;0.007911;0.012889;0.330578;0.000089;0.002667;0.079911;0.004800;0.032178;0.000089;0.119022;0.003289;0.079733;0.004267;0.008267;0.004267;0.044267;0.171822;0.000356;0.000089;0.000089;0.002756;0.000089;0.000089;0.000089
d ;0.000017;0.057322;0.102781;0.002625;0.012976;0.003772;0.015735;0.039777;0.049098;0.062888;0.019024;0.061609;0.015718;0.019988;0.020769;0.237480;0.007277;0.072160;0.000532;0.096418;0.022979;0.013907;0.012810;0.023627;0.023311;0.000083;0.003373;0.000083;0.000216;0.001080;0.000548;0.000017
de;0.000060;0.000301;0.000181;0.094561;0.007288;0.006806;0.178823;0.000120;0.025778;0.034813;0.058905;0.000181;0.026682;0.043546;0.193820;0.010058;0.000060;0.050111;0.014576;0.063844;0.033187;0.002048;0.000181;0.034693;0.116545;0.000843;0.000482;0.000060;0.000964;0.000361;0.000060;0.000060
dv;0.002571;0.002571;0.195373;0.002571;0.349614;0.002571;0.005141;0.002571;0.002571;0.249357;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.131105;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571
dr;0.000553;0.000553;0.121195;0.014942;0.470946;0.000553;0.000553;0.008854;0.000553;0.174322;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.003320;0.002214;0.099613;0.000553;0.000553;0.074709;0.000553;0.000553;0.000553;0.000553;0.017709;0.000553;0.000553;0.000553;0.000553
dy;0.000321;0.000321;0.009618;0.776210;0.000641;0.000321;0.000321;0.000321;0.000962;0.000321;0.000321;0.000321;0.011863;0.000321;0.000321;0.001282;0.000321;0.052902;0.134338;0.000321;0.000321;0.000641;0.000321;0.000321;0.004489;0.000321;0.000321;0.000321;0.000321;0.000321;0.000321;0.000321
db;0.010000;0.010000;0.080000;0.010000;0.020000;0.010000;0.040000;0.090000;0.010000;0.070000;0.010000;0.010000;0.200000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.250000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
do;0.000060;0.000121;0.092405;0.239783;0.103556;0.000181;0.033635;0.000121;0.000121;0.008379;0.001748;0.062568;0.046474;0.015190;0.010307;0.001567;0.000422;0.005063;0.032972;0.000301;0.004400;0.005184;0.013924;0.000422;0.317902;0.000784;0.000121;0.000060;0.002049;0.000060;0.000060;0.000060
dd;0.000722;0.001443;0.169553;0.093074;0.090909;0.000722;0.050505;0.055556;0.000722;0.129870;0.000722;0.000722;0.194084;0.000722;0.000722;0.000722;0.000722;0.010823;0.019481;0.158009;0.000722;0.000722;0.000722;0.012266;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722
dw;0.008000;0.008000;0.264000;0.008000;0.064000;0.008000;0.024000;0.008000;0.008000;0.112000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.312000;0.008000;0.008000;0.016000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000
dl;0.001295;0.001295;0.248705;0.002591;0.453368;0.001295;0.001295;0.246114;0.001295;0.002591;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.009067;0.001295;0.001295;0.005181;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295
dc;0.006494;0.019481;0.006494;0.259740;0.006494;0.006494;0.006494;0.006494;0.006494;0.058442;0.006494;0.006494;0.032468;0.006494;0.006494;0.006494;0.006494;0.006494;0.025974;0.396104;0.006494;0.006494;0.045455;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
dm;0.001733;0.001733;0.644714;0.003466;0.152513;0.001733;0.001733;0.001733;0.001733;0.027730;0.001733;0.001733;0.001733;0.001733;0.001733;0.001733;0.001733;0.001733;0.003466;0.119584;0.001733;0.001733;0.003466;0.001733;0.001733;0.001733;0.001733;0.001733;0.003466;0.001733;0.001733;0.001733
dt;0.006579;0.085526;0.006579;0.032895;0.210526;0.006579;0.480263;0.006579;0.006579;0.013158;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579
dj;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.260870;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
ds;0.000445;0.005791;0.004454;0.832962;0.008463;0.000445;0.000445;0.000445;0.000891;0.007127;0.000891;0.001782;0.000891;0.001782;0.003563;0.007127;0.000445;0.000445;0.104677;0.005791;0.004009;0.000445;0.001782;0.000445;0.000445;0.000445;0.001336;0.000445;0.000445;0.000445;0.000445;0.000445
d);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
da;0.000244;0.006579;0.016082;0.105263;0.000244;0.034600;0.035819;0.355994;0.009016;0.000731;0.014133;0.001218;0.017788;0.017788;0.091131;0.182749;0.000244;0.009747;0.016082;0.002193;0.002924;0.001462;0.010234;0.001949;0.057749;0.000244;0.006579;0.000244;0.000244;0.000244;0.000244;0.000244
dp;0.013699;0.013699;0.109589;0.191781;0.054795;0.013699;0.027397;0.013699;0.013699;0.054795;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.041096;0.178082;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699;0.013699
dg;0.001802;0.001802;0.027027;0.001802;0.859459;0.001802;0.001802;0.005405;0.001802;0.001802;0.001802;0.001802;0.007207;0.001802;0.036036;0.001802;0.001802;0.001802;0.001802;0.014414;0.001802;0.001802;0.005405;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802;0.001802
du;0.000656;0.001969;0.001969;0.000656;0.037402;0.000656;0.146982;0.000656;0.005906;0.002625;0.034121;0.000656;0.047244;0.313648;0.102362;0.010499;0.000656;0.166010;0.000656;0.062992;0.036745;0.001969;0.001312;0.000656;0.015092;0.000656;0.001969;0.000656;0.000656;0.000656;0.000656;0.000656
df;0.010309;0.010309;0.041237;0.010309;0.030928;0.010309;0.206186;0.010309;0.010309;0.020619;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.185567;0.010309;0.010309;0.247423;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
dn;0.000424;0.000424;0.002119;0.002119;0.019915;0.000424;0.000424;0.000424;0.000424;0.001271;0.000424;0.000424;0.000424;0.128390;0.000424;0.831356;0.000424;0.000424;0.000424;0.004237;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424;0.000424
dx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
dk;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
d.;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
dz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
dq;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.523077;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
d,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
d#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
w(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wh;0.000046;0.000046;0.106059;0.000046;0.195114;0.000046;0.000046;0.118984;0.000046;0.203273;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.375332;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046
wi;0.000121;0.000121;0.000121;0.000121;0.000965;0.000362;0.003498;0.000121;0.000121;0.000121;0.007840;0.000121;0.149319;0.012182;0.001568;0.617416;0.000121;0.035460;0.000241;0.000121;0.008805;0.000362;0.000121;0.004825;0.138222;0.000121;0.016886;0.000121;0.000121;0.000121;0.000121;0.000121
w ;0.000065;0.056243;0.147224;0.002020;0.014403;0.004888;0.012969;0.077881;0.032651;0.024896;0.033042;0.125326;0.017987;0.022680;0.032782;0.186653;0.010949;0.041189;0.000456;0.083485;0.022289;0.010362;0.011992;0.012448;0.010428;0.000130;0.002868;0.000196;0.000196;0.000847;0.000391;0.000065
we;0.000051;0.000051;0.009689;0.342649;0.052119;0.029578;0.263246;0.000051;0.005253;0.000051;0.026467;0.000051;0.152022;0.000051;0.000051;0.000612;0.000051;0.013310;0.053547;0.017798;0.000765;0.000255;0.000051;0.000051;0.031822;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051
wv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
wr;0.001059;0.001059;0.275424;0.001059;0.092161;0.001059;0.001059;0.001059;0.001059;0.576271;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.026483;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059
