smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
tu;0.000487;0.001461;0.037975;0.000487;0.017527;0.000974;0.245375;0.009250;0.412853;0.000487;0.036027;0.000487;0.045764;0.049659;0.000487;0.000487;0.004382;0.007790;0.000487;0.000487;0.000487;0.023369;0.004382;0.095424;0.000487;0.000487;0.000487;0.000487;0.000487;0.000487;0.000487
tx;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
tz;0.017241;0.017241;0.017241;0.327586;0.051724;0.017241;0.017241;0.120690;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
tq;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
t.;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
t#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
 (;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
 i;0.000042;0.000721;0.215149;0.178761;0.188685;0.001781;0.001696;0.000042;0.000042;0.000594;0.000042;0.000042;0.242334;0.017431;0.000042;0.032656;0.000551;0.046440;0.000042;0.000042;0.000042;0.000170;0.005429;0.055219;0.009754;0.000042;0.000042;0.000042;0.001993;0.000085;0.000042
 t;0.000023;0.014190;0.000023;0.000417;0.000046;0.000023;0.056600;0.017038;0.030974;0.191676;0.000023;0.000023;0.000046;0.000046;0.002593;0.000023;0.000023;0.000023;0.000023;0.671698;0.010903;0.000023;0.000046;0.000023;0.000440;0.002894;0.000023;0.000023;0.000023;0.000046;0.000023
  ;0.001269;0.073604;0.090102;0.032995;0.041878;0.016497;0.017766;0.022843;0.115482;0.083756;0.043147;0.006345;0.017766;0.029188;0.107868;0.008883;0.038071;0.046954;0.001269;0.036802;0.050761;0.063452;0.008883;0.020305;0.008883;0.003807;0.002538;0.002538;0.002538;0.001269;0.002538
 s;0.000065;0.043263;0.140474;0.002606;0.000195;0.000065;0.000521;0.124381;0.145817;0.278017;0.000065;0.000391;0.000782;0.000065;0.008405;0.000521;0.026453;0.007558;0.002997;0.092781;0.004170;0.043524;0.008340;0.000391;0.000065;0.067370;0.000065;0.000065;0.000456;0.000065;0.000065
 g;0.000196;0.064067;0.000196;0.003135;0.000588;0.000196;0.086207;0.216497;0.046042;0.481583;0.000196;0.000196;0.000196;0.000980;0.000196;0.000392;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.008229;0.000196;0.000196;0.088362;0.000196;0.000196;0.000196;0.000196;0.000196
 r;0.000173;0.204853;0.000347;0.000173;0.000173;0.000173;0.000173;0.540035;0.088388;0.061179;0.000173;0.000173;0.000520;0.000347;0.003120;0.000173;0.000173;0.000173;0.000173;0.002600;0.000347;0.000347;0.000173;0.000173;0.000173;0.094627;0.000173;0.000173;0.000173;0.000173;0.000173
 e;0.000240;0.029962;0.009348;0.000959;0.027804;0.004554;0.014861;0.000240;0.053931;0.000240;0.000479;0.000240;0.141419;0.011745;0.004794;0.000240;0.035954;0.040988;0.000240;0.000240;0.000240;0.005992;0.081016;0.021812;0.277565;0.009348;0.214046;0.000240;0.010786;0.000240;0.000240
 a;0.000036;0.002109;0.050794;0.169860;0.058693;0.021018;0.077030;0.000107;0.000036;0.000071;0.071740;0.000036;0.331498;0.015442;0.000036;0.040713;0.036138;0.017050;0.000107;0.001430;0.005648;0.013512;0.067737;0.009866;0.002359;0.006506;0.000071;0.000036;0.000036;0.000250;0.000036
 o;0.000067;0.000469;0.031977;0.000201;0.000536;0.000268;0.109070;0.000067;0.001274;0.000268;0.017028;0.000067;0.203459;0.001341;0.000067;0.000067;0.002749;0.001810;0.016625;0.008983;0.011799;0.016491;0.005229;0.468057;0.021452;0.079976;0.000335;0.000067;0.000067;0.000067;0.000067
 b;0.000095;0.049474;0.000095;0.000853;0.000758;0.000095;0.041134;0.454933;0.095252;0.054402;0.000190;0.000095;0.000095;0.000095;0.079708;0.000190;0.000190;0.000474;0.000095;0.000095;0.000095;0.000095;0.020093;0.000284;0.000095;0.200550;0.000095;0.000095;0.000095;0.000095;0.000095
 j;0.000466;0.016294;0.000466;0.001862;0.000931;0.000466;0.010708;0.070298;0.070298;0.230447;0.000466;0.000466;0.000466;0.001862;0.000466;0.000466;0.000466;0.000466;0.000466;0.000931;0.000931;0.000466;0.000466;0.000466;0.000466;0.586127;0.000466;0.000466;0.000466;0.000466;0.000466
 n;0.000176;0.030324;0.000176;0.001234;0.001234;0.000176;0.003879;0.204690;0.057299;0.639104;0.002997;0.000176;0.000176;0.001058;0.000353;0.000882;0.000705;0.000176;0.000176;0.000353;0.003173;0.000882;0.000176;0.000882;0.000176;0.048484;0.000176;0.000176;0.000176;0.000176;0.000176
 d;0.000117;0.203070;0.000117;0.004101;0.000234;0.000117;0.024139;0.194633;0.097024;0.437427;0.000117;0.000117;0.007265;0.000117;0.003633;0.000352;0.001640;0.001289;0.000117;0.000586;0.000234;0.000117;0.000117;0.000234;0.000117;0.022381;0.000117;0.000117;0.000117;0.000117;0.000117
 y;0.000146;0.000146;0.000146;0.001172;0.000146;0.000146;0.000146;0.156168;0.003223;0.835189;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000293;0.000146;0.000293;0.000146;0.000146;0.000146
 );0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
 c;0.000112;0.015187;0.000225;0.000675;0.000225;0.000112;0.061987;0.028912;0.270559;0.423107;0.001462;0.000112;0.003487;0.000225;0.003150;0.000225;0.000112;0.000112;0.000112;0.091799;0.000112;0.000225;0.071324;0.000225;0.000112;0.025312;0.000112;0.000225;0.000112;0.000112;0.000225
 m;0.000121;0.109622;0.000241;0.000241;0.001932;0.000121;0.004226;0.259447;0.264759;0.214536;0.000121;0.000121;0.000121;0.000121;0.074007;0.000121;0.005191;0.002173;0.000121;0.000121;0.000121;0.000121;0.000121;0.000121;0.000241;0.061210;0.000121;0.000121;0.000121;0.000121;0.000121
 k;0.000345;0.176735;0.000345;0.000345;0.000345;0.000345;0.006559;0.063859;0.032102;0.043838;0.000345;0.000345;0.656886;0.000345;0.001381;0.000345;0.001381;0.000345;0.000690;0.002761;0.000345;0.000345;0.001036;0.000345;0.000345;0.006213;0.000345;0.000345;0.000345;0.000345;0.000345
 h;0.000106;0.132331;0.000106;0.000106;0.000106;0.000106;0.000423;0.305738;0.391277;0.127250;0.000106;0.000106;0.000106;0.000106;0.004129;0.000106;0.000106;0.000847;0.000106;0.000106;0.000212;0.000106;0.000106;0.000106;0.000106;0.035359;0.000106;0.000106;0.000212;0.000106;0.000106
 w;0.000057;0.136622;0.000057;0.000682;0.000057;0.000057;0.015515;0.222437;0.208343;0.114003;0.000057;0.000057;0.000057;0.000057;0.000057;0.000227;0.000057;0.000057;0.000057;0.300296;0.000625;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
 p;0.000123;0.024038;0.000123;0.001479;0.012327;0.000123;0.248028;0.226331;0.171351;0.156805;0.000247;0.000123;0.000123;0.000370;0.000123;0.000616;0.000247;0.000370;0.000123;0.014916;0.000123;0.000616;0.061021;0.000123;0.000123;0.078772;0.000123;0.000123;0.000123;0.000616;0.000247
 l;0.000173;0.401349;0.000173;0.001038;0.000173;0.002248;0.000173;0.204565;0.141968;0.223068;0.000346;0.000173;0.000173;0.000173;0.014007;0.000346;0.000173;0.000173;0.000173;0.000173;0.000173;0.000173;0.000346;0.000173;0.000173;0.007263;0.000173;0.000173;0.000173;0.000173;0.000173
 f;0.000148;0.139074;0.000296;0.000444;0.000148;0.000148;0.178429;0.063915;0.129605;0.409528;0.011540;0.000148;0.000148;0.000148;0.000148;0.000296;0.000296;0.000148;0.000148;0.000148;0.000148;0.000148;0.021009;0.000444;0.000148;0.042462;0.000148;0.000148;0.000148;0.000148;0.000148
 v;0.000621;0.209808;0.000621;0.004966;0.001862;0.000621;0.000621;0.481688;0.113594;0.160149;0.000621;0.001241;0.000621;0.000621;0.000621;0.001862;0.000621;0.001241;0.000621;0.000621;0.000621;0.000621;0.006828;0.000621;0.000621;0.004345;0.000621;0.000621;0.000621;0.000621;0.000621
 u;0.000401;0.000401;0.009233;0.000803;0.243677;0.000401;0.006022;0.000401;0.000401;0.000401;0.013649;0.000401;0.350863;0.000401;0.000401;0.000401;0.000803;0.027298;0.006022;0.069450;0.000401;0.238458;0.016459;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.010036;0.000401
 x;0.016667;0.050000;0.016667;0.266667;0.016667;0.016667;0.033333;0.100000;0.016667;0.016667;0.016667;0.016667;0.016667;0.033333;0.033333;0.050000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.050000;0.016667;0.016667;0.016667;0.016667
 z;0.012987;0.012987;0.012987;0.181818;0.012987;0.012987;0.012987;0.298701;0.012987;0.077922;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.012987;0.064935;0.012987;0.025974;0.012987;0.012987;0.012987
 q;0.001704;0.001704;0.001704;0.008518;0.001704;0.001704;0.001704;0.001704;0.003407;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.003407;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.938671;0.001704;0.001704;0.001704;0.001704;0.001704
 .;0.020000;0.020000;0.020000;0.300000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
 #;0.015385;0.015385;0.015385;0.461538;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.092308;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
s(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
si;0.000238;0.000238;0.099786;0.006177;0.040627;0.049656;0.003564;0.013780;0.105726;0.108339;0.061297;0.000238;0.159420;0.152055;0.000238;0.000713;0.073414;0.039439;0.000950;0.000238;0.000238;0.000713;0.014968;0.004277;0.046567;0.000475;0.011879;0.004039;0.000238;0.000238;0.000238
st;0.000102;0.159355;0.000204;0.303407;0.030810;0.000102;0.078555;0.093654;0.164048;0.061314;0.000204;0.000102;0.000102;0.000102;0.003673;0.053458;0.000204;0.002653;0.000204;0.001224;0.000306;0.000204;0.008162;0.000204;0.000102;0.037033;0.000102;0.000102;0.000102;0.000102;0.000102
s ;0.000034;0.101905;0.161573;0.001625;0.052763;0.023996;0.022913;0.011913;0.177345;0.069313;0.041764;0.010255;0.041053;0.021119;0.018885;0.000372;0.028057;0.022236;0.003757;0.027549;0.067113;0.026229;0.023860;0.026636;0.007277;0.008089;0.000102;0.000237;0.001794;0.000169;0.000068
ss;0.000334;0.353235;0.000667;0.272515;0.000334;0.000334;0.001001;0.092728;0.067045;0.028686;0.000334;0.000334;0.000334;0.000334;0.007672;0.050367;0.002335;0.014009;0.000334;0.000334;0.001001;0.001001;0.005337;0.008339;0.000334;0.089059;0.000334;0.000334;0.000334;0.000334;0.000334
sg;0.016129;0.080645;0.016129;0.016129;0.016129;0.016129;0.048387;0.096774;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.338710;0.016129;0.016129;0.016129;0.016129;0.016129
sr;0.009901;0.079208;0.009901;0.029703;0.009901;0.009901;0.009901;0.138614;0.425743;0.029703;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.049505;0.009901;0.009901;0.009901;0.009901;0.009901
se;0.000124;0.000869;0.025202;0.395407;0.038361;0.001862;0.051148;0.096958;0.022967;0.000248;0.001241;0.000124;0.084420;0.069646;0.002483;0.067784;0.038734;0.004593;0.000745;0.001241;0.000497;0.009435;0.049162;0.003352;0.010180;0.004593;0.012663;0.000124;0.005587;0.000124;0.000124
sa;0.000292;0.179883;0.047230;0.016035;0.011953;0.026531;0.039942;0.000292;0.000875;0.000292;0.003790;0.000583;0.081633;0.013994;0.373178;0.003499;0.009913;0.074052;0.002624;0.000583;0.020700;0.004665;0.035860;0.010204;0.016327;0.023615;0.000292;0.000292;0.000292;0.000292;0.000292
so;0.000152;0.000304;0.000913;0.321869;0.000152;0.000609;0.136813;0.006087;0.000304;0.010501;0.000457;0.000152;0.104398;0.001978;0.002131;0.046568;0.056460;0.239994;0.000152;0.000152;0.000457;0.004566;0.034698;0.001978;0.000761;0.026632;0.000152;0.000152;0.000152;0.000152;0.000152
sb;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.100000;0.200000;0.040000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000
sj;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
sn;0.001718;0.010309;0.881443;0.001718;0.001718;0.001718;0.001718;0.022337;0.005155;0.006873;0.029210;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.001718;0.003436;0.001718;0.001718;0.001718;0.001718;0.001718
sd;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.360000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
sy;0.002564;0.002564;0.002564;0.205128;0.341026;0.002564;0.020513;0.002564;0.002564;0.002564;0.002564;0.002564;0.015385;0.002564;0.002564;0.035897;0.264103;0.041026;0.002564;0.002564;0.002564;0.002564;0.017949;0.002564;0.002564;0.002564;0.002564;0.002564;0.002564;0.002564;0.002564
s);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
sc;0.000970;0.249273;0.000970;0.000970;0.000970;0.000970;0.146460;0.056256;0.142580;0.125121;0.000970;0.000970;0.000970;0.000970;0.000970;0.000970;0.000970;0.000970;0.000970;0.108632;0.000970;0.000970;0.027158;0.000970;0.000970;0.122211;0.000970;0.000970;0.000970;0.000970;0.000970
sm;0.001739;0.057391;0.001739;0.469565;0.040000;0.001739;0.001739;0.064348;0.213913;0.027826;0.001739;0.001739;0.001739;0.001739;0.001739;0.081739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.001739;0.005217;0.001739;0.001739;0.001739;0.001739;0.001739
sk;0.002639;0.234828;0.002639;0.245383;0.026385;0.002639;0.002639;0.335092;0.042216;0.002639;0.002639;0.002639;0.002639;0.002639;0.026385;0.023747;0.002639;0.002639;0.002639;0.002639;0.002639;0.002639;0.002639;0.002639;0.002639;0.005277;0.002639;0.002639;0.002639;0.002639;0.002639
sh;0.000386;0.132614;0.000386;0.115652;0.000386;0.000386;0.012722;0.236315;0.067078;0.382806;0.001928;0.000386;0.007710;0.000386;0.001542;0.017733;0.000386;0.008096;0.000386;0.000386;0.000386;0.000386;0.003470;0.000386;0.000386;0.005397;0.000386;0.000386;0.000386;0.000386;0.000386
sw;0.003597;0.125899;0.003597;0.003597;0.003597;0.003597;0.003597;0.665468;0.046763;0.057554;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.003597;0.010791;0.003597;0.003597;0.003597;0.003597;0.003597
sp;0.000689;0.165403;0.000689;0.005513;0.002068;0.000689;0.021365;0.489318;0.073053;0.189524;0.000689;0.000689;0.000689;0.000689;0.007581;0.001378;0.000689;0.000689;0.000689;0.006203;0.000689;0.000689;0.015162;0.000689;0.000689;0.010338;0.000689;0.000689;0.000689;0.000689;0.000689
sl;0.002227;0.187082;0.002227;0.002227;0.002227;0.002227;0.002227;0.086860;0.282851;0.057906;0.002227;0.002227;0.002227;0.002227;0.318486;0.002227;0.002227;0.002227;0.002227;0.002227;0.002227;0.002227;0.002227;0.002227;0.002227;0.011136;0.002227;0.002227;0.002227;0.002227;0.002227
sf;0.013514;0.081081;0.013514;0.081081;0.013514;0.013514;0.013514;0.094595;0.027027;0.067568;0.013514;0.013514;0.013514;0.013514;0.027027;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.297297;0.013514;0.013514;0.013514;0.013514;0.013514
sv;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
su;0.000471;0.015559;0.000471;0.000471;0.071193;0.026874;0.211693;0.099010;0.034418;0.000471;0.070721;0.000471;0.016502;0.016502;0.000471;0.000471;0.064592;0.065535;0.000471;0.000471;0.000471;0.233380;0.052334;0.013201;0.000943;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471
sx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
sz;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
sq;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.423077;0.019231;0.019231;0.019231;0.019231;0.019231
s.;0.016129;0.016129;0.016129;0.451613;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.048387;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
s#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
g(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
gi;0.000890;0.000890;0.024043;0.008905;0.077471;0.003562;0.039181;0.023152;0.006233;0.111309;0.004452;0.000890;0.268923;0.004452;0.000890;0.001781;0.088157;0.014248;0.000890;0.000890;0.000890;0.000890;0.003562;0.010686;0.252004;0.032947;0.000890;0.014248;0.000890;0.000890;0.000890
gt;0.010417;0.145833;0.010417;0.020833;0.010417;0.010417;0.010417;0.125000;0.010417;0.333333;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.104167;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417
g ;0.000107;0.086864;0.292790;0.002460;0.038297;0.008237;0.015618;0.013372;0.148374;0.075096;0.027813;0.003637;0.011339;0.019469;0.019469;0.000642;0.016367;0.028776;0.001712;0.031237;0.057873;0.029953;0.016474;0.029739;0.005456;0.015404;0.000321;0.000107;0.002674;0.000214;0.000107
gs;0.001486;0.001486;0.016345;0.812779;0.001486;0.001486;0.004458;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.124814;0.001486;0.001486;0.001486;0.002972;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486;0.001486
