smoothed;3
(;w;h;o;s; ;l;i;b;e;r;a;c;);y;u;m;n;k;p;d;t;g;x;v;f;j;q;z;.;,;#
bu;0.000403;0.000403;0.000403;0.000403;0.049577;0.000403;0.014510;0.025393;0.004031;0.000403;0.040709;0.000403;0.005240;0.001209;0.033051;0.000403;0.011689;0.017332;0.000403;0.000403;0.010480;0.769045;0.002821;0.000403;0.000403;0.002418;0.000403;0.000806;0.005240;0.000403;0.000403;0.000403
bm;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
bn;0.026316;0.026316;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
bk;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bp;0.023256;0.023256;0.023256;0.069767;0.023256;0.139535;0.023256;0.046512;0.023256;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
bd;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
bt;0.012821;0.012821;0.012821;0.012821;0.012821;0.333333;0.012821;0.025641;0.012821;0.025641;0.025641;0.076923;0.012821;0.051282;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.141026;0.012821;0.012821;0.012821;0.012821
bg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bv;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.838384;0.005051;0.005051;0.005051;0.010101;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051
bf;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bj;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.557143;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
bq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
b#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
e(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ew;0.000995;0.000995;0.038806;0.005970;0.256716;0.405970;0.001990;0.046766;0.001990;0.070647;0.002985;0.033831;0.000995;0.089552;0.000995;0.001990;0.011940;0.000995;0.000995;0.008955;0.003980;0.001990;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995;0.000995
eh;0.005236;0.005236;0.005236;0.172775;0.005236;0.010471;0.005236;0.350785;0.005236;0.094241;0.015707;0.214660;0.005236;0.010471;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236;0.005236
eo;0.000468;0.000468;0.001870;0.000468;0.031323;0.085554;0.012155;0.000468;0.000468;0.000468;0.019168;0.000468;0.000935;0.014960;0.000468;0.007013;0.000468;0.141187;0.000468;0.662459;0.001403;0.008883;0.000468;0.000468;0.001403;0.003273;0.000468;0.000468;0.000468;0.000468;0.000468;0.000468
es;0.000104;0.000104;0.002812;0.003749;0.112372;0.496042;0.001666;0.016767;0.002395;0.066340;0.000104;0.000625;0.007707;0.083941;0.000208;0.008019;0.000417;0.030827;0.000937;0.025620;0.001041;0.136742;0.000104;0.000104;0.000208;0.000208;0.000104;0.000208;0.000104;0.000104;0.000104;0.000208
e ;0.000022;0.081346;0.041667;0.058972;0.073486;0.002747;0.027554;0.082753;0.042247;0.015318;0.025143;0.099634;0.042203;0.000648;0.041041;0.011477;0.034544;0.027711;0.008016;0.035906;0.032891;0.136209;0.027912;0.000022;0.006743;0.031864;0.008775;0.002702;0.000201;0.000156;0.000067;0.000022
el;0.000223;0.000223;0.000894;0.028374;0.044459;0.091376;0.352770;0.111260;0.000447;0.046023;0.000223;0.032172;0.005585;0.016309;0.124888;0.000670;0.002904;0.000447;0.000223;0.024352;0.012511;0.010500;0.003351;0.000223;0.020777;0.067471;0.000223;0.000223;0.000223;0.000223;0.000223;0.000223
ei;0.000741;0.000741;0.000741;0.000741;0.005189;0.001483;0.008154;0.000741;0.000741;0.000741;0.387695;0.000741;0.002224;0.001483;0.000741;0.001483;0.001483;0.370645;0.000741;0.001483;0.001483;0.075612;0.095626;0.000741;0.026686;0.000741;0.000741;0.000741;0.006672;0.000741;0.000741;0.000741
eb;0.002740;0.002740;0.002740;0.402740;0.054795;0.010959;0.030137;0.010959;0.016438;0.101370;0.071233;0.156164;0.002740;0.010959;0.010959;0.063014;0.002740;0.002740;0.002740;0.002740;0.002740;0.008219;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740
ee;0.000249;0.002238;0.000249;0.000497;0.017653;0.235704;0.056440;0.008454;0.000497;0.000249;0.027350;0.000497;0.043511;0.041522;0.000249;0.000249;0.049975;0.231974;0.051716;0.060169;0.113874;0.047986;0.000497;0.000497;0.001243;0.001243;0.000746;0.000497;0.003232;0.000249;0.000249;0.000249
er;0.000062;0.003246;0.001061;0.006181;0.105569;0.284305;0.004745;0.032526;0.001561;0.293482;0.013048;0.032588;0.010301;0.051629;0.067861;0.000687;0.013984;0.023224;0.001311;0.002497;0.002872;0.017043;0.002809;0.000062;0.019790;0.006992;0.000125;0.000125;0.000062;0.000125;0.000062;0.000062
ea;0.000129;0.000775;0.203099;0.000129;0.080439;0.022724;0.161136;0.000129;0.000904;0.000129;0.155326;0.000129;0.032150;0.004648;0.000129;0.009296;0.014590;0.086249;0.033828;0.008909;0.085087;0.083667;0.004132;0.000129;0.009555;0.001679;0.000129;0.000129;0.000258;0.000129;0.000129;0.000129
ec;0.000272;0.000272;0.065797;0.100054;0.000544;0.003806;0.007069;0.105220;0.000272;0.073953;0.012235;0.360250;0.000544;0.001088;0.001359;0.020120;0.000272;0.000272;0.032083;0.000272;0.005166;0.206362;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272
e);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ey;0.000325;0.000325;0.000325;0.005844;0.007468;0.644481;0.012662;0.000649;0.001948;0.022078;0.165909;0.000649;0.000649;0.102273;0.000325;0.000325;0.000974;0.001623;0.000325;0.000325;0.004870;0.000325;0.000325;0.000325;0.022403;0.000325;0.000325;0.000325;0.000325;0.000325;0.000325;0.000325
eu;0.008696;0.008696;0.008696;0.008696;0.017391;0.008696;0.017391;0.008696;0.026087;0.017391;0.330435;0.008696;0.008696;0.008696;0.008696;0.008696;0.034783;0.034783;0.017391;0.078261;0.043478;0.147826;0.008696;0.052174;0.017391;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
em;0.000391;0.000391;0.000391;0.084865;0.088385;0.279233;0.001173;0.102464;0.089949;0.175205;0.000391;0.064920;0.000782;0.041846;0.009386;0.000782;0.007039;0.004302;0.000391;0.042237;0.000391;0.001173;0.000391;0.000391;0.000391;0.000391;0.000391;0.000391;0.000391;0.000391;0.000391;0.000391
en;0.000098;0.000098;0.000684;0.008889;0.038879;0.354498;0.001465;0.014946;0.000195;0.041418;0.000781;0.009573;0.054313;0.059392;0.001172;0.002637;0.001661;0.005666;0.000098;0.000293;0.083911;0.301358;0.008108;0.000098;0.000977;0.001856;0.006056;0.000098;0.000488;0.000098;0.000098;0.000098
ek;0.004016;0.008032;0.004016;0.004016;0.184739;0.469880;0.024096;0.016064;0.008032;0.076305;0.004016;0.004016;0.004016;0.096386;0.004016;0.004016;0.004016;0.008032;0.004016;0.004016;0.020080;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016
ep;0.000980;0.000980;0.090196;0.111765;0.024510;0.190196;0.035294;0.060784;0.001961;0.051961;0.063725;0.085294;0.001961;0.030392;0.012745;0.064706;0.000980;0.000980;0.000980;0.012745;0.000980;0.146078;0.000980;0.000980;0.000980;0.000980;0.000980;0.000980;0.000980;0.000980;0.000980;0.000980
ed;0.000152;0.000456;0.000607;0.012149;0.010175;0.743660;0.006226;0.064541;0.001822;0.013212;0.001215;0.001974;0.000152;0.111921;0.005923;0.011541;0.000304;0.001519;0.000152;0.000152;0.002278;0.000607;0.007897;0.000152;0.000152;0.000152;0.000152;0.000152;0.000152;0.000152;0.000152;0.000152
et;0.000233;0.027279;0.116577;0.006528;0.109116;0.353229;0.001399;0.061786;0.001632;0.062019;0.013523;0.024248;0.006761;0.048496;0.026580;0.009792;0.000233;0.001166;0.000933;0.000466;0.000233;0.124505;0.000233;0.000233;0.000233;0.001166;0.000233;0.000233;0.000233;0.000233;0.000233;0.000233
eg;0.001152;0.003456;0.001152;0.050691;0.005760;0.024194;0.001152;0.148618;0.001152;0.202765;0.046083;0.290323;0.001152;0.010369;0.006912;0.055300;0.049539;0.063364;0.001152;0.001152;0.001152;0.001152;0.021889;0.001152;0.001152;0.001152;0.001152;0.001152;0.001152;0.001152;0.001152;0.001152
ex;0.000632;0.001896;0.006321;0.002528;0.000632;0.074589;0.000632;0.061947;0.001896;0.021492;0.000632;0.254109;0.093552;0.018963;0.003161;0.085967;0.000632;0.000632;0.000632;0.171302;0.000632;0.189633;0.001896;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632
ev;0.000369;0.000369;0.000369;0.012906;0.000369;0.001475;0.002212;0.073009;0.000369;0.870944;0.000737;0.029499;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369;0.000369
ef;0.000916;0.000916;0.000916;0.271062;0.007326;0.033883;0.004579;0.154762;0.000916;0.135531;0.005495;0.008242;0.000916;0.007326;0.000916;0.085165;0.000916;0.001832;0.000916;0.000916;0.000916;0.219780;0.001832;0.000916;0.000916;0.046703;0.000916;0.000916;0.000916;0.000916;0.000916;0.000916
ej;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.227273;0.022727;0.022727;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
eq;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.790541;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757
ez;0.009434;0.009434;0.009434;0.009434;0.009434;0.198113;0.009434;0.028302;0.009434;0.132075;0.009434;0.018868;0.009434;0.037736;0.009434;0.339623;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434
e.;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
e,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
e#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
r(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
rw;0.006329;0.006329;0.037975;0.037975;0.006329;0.006329;0.006329;0.094937;0.006329;0.037975;0.006329;0.620253;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329
rh;0.014706;0.014706;0.014706;0.176471;0.014706;0.014706;0.014706;0.014706;0.014706;0.250000;0.014706;0.132353;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
ro;0.000228;0.055505;0.000914;0.029922;0.032663;0.023755;0.061215;0.008908;0.082686;0.001370;0.008451;0.018273;0.024669;0.005939;0.008451;0.133623;0.206259;0.082458;0.006624;0.042028;0.031521;0.049109;0.032206;0.000685;0.035404;0.012791;0.002056;0.000228;0.001370;0.000228;0.000228;0.000228
rs;0.000317;0.000317;0.021270;0.102222;0.000317;0.380635;0.000317;0.027619;0.000317;0.153016;0.000317;0.036508;0.001905;0.055556;0.001905;0.014603;0.000635;0.000317;0.000317;0.006349;0.005714;0.186032;0.000317;0.000317;0.000317;0.000317;0.000317;0.000317;0.000317;0.000635;0.000317;0.000317
r ;0.000098;0.062146;0.043678;0.058921;0.070940;0.005765;0.025894;0.066641;0.048270;0.021790;0.023256;0.107680;0.039183;0.001759;0.046316;0.007426;0.041821;0.024331;0.006547;0.041333;0.025992;0.150283;0.018566;0.000098;0.009283;0.038499;0.009380;0.002931;0.000684;0.000098;0.000293;0.000098
rl;0.001739;0.001739;0.001739;0.029565;0.062609;0.092174;0.001739;0.083478;0.003478;0.034783;0.001739;0.074783;0.001739;0.026087;0.266087;0.001739;0.003478;0.001739;0.001739;0.001739;0.276522;0.001739;0.001739;0.001739;0.001739;0.010435;0.001739;0.001739;0.001739;0.001739;0.001739;0.003478
ri;0.000181;0.000181;0.000181;0.031199;0.062398;0.001995;0.023943;0.000181;0.041538;0.088337;0.000181;0.040813;0.089425;0.000544;0.000363;0.001814;0.034101;0.098857;0.003809;0.015781;0.017776;0.079086;0.294032;0.000181;0.042082;0.021767;0.001633;0.000181;0.006893;0.000181;0.000181;0.000181
rb;0.006494;0.006494;0.006494;0.207792;0.025974;0.045455;0.045455;0.168831;0.006494;0.084416;0.019481;0.214286;0.006494;0.012987;0.032468;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
re;0.000058;0.004629;0.001157;0.001446;0.106515;0.408817;0.017068;0.001562;0.002604;0.044261;0.001041;0.133360;0.029796;0.073478;0.001389;0.000289;0.023085;0.046575;0.000174;0.017704;0.037491;0.018746;0.010761;0.000174;0.007406;0.008274;0.000636;0.001157;0.000174;0.000058;0.000058;0.000058
rr;0.001006;0.001006;0.001006;0.089537;0.001006;0.006036;0.001006;0.258551;0.001006;0.285714;0.001006;0.035211;0.001006;0.003018;0.276660;0.021127;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006
ra;0.000282;0.013807;0.004227;0.001691;0.031558;0.022260;0.119752;0.074951;0.016906;0.006199;0.008735;0.000282;0.112708;0.005072;0.012961;0.006199;0.043393;0.136095;0.001409;0.107354;0.025641;0.147929;0.053254;0.000282;0.010425;0.008453;0.002254;0.001409;0.023669;0.000282;0.000282;0.000282
rc;0.001587;0.001587;0.366667;0.044444;0.001587;0.007937;0.026984;0.063492;0.001587;0.384127;0.001587;0.019048;0.001587;0.001587;0.012698;0.038095;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587;0.001587
r);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ry;0.000415;0.011203;0.000415;0.069295;0.004564;0.615353;0.004149;0.076349;0.021992;0.001660;0.000415;0.005809;0.000415;0.129876;0.000415;0.000415;0.001245;0.000830;0.000415;0.001660;0.003320;0.045228;0.000415;0.000415;0.000415;0.000415;0.000415;0.000415;0.000415;0.000830;0.000415;0.000415
ru;0.000855;0.000855;0.000855;0.000855;0.086325;0.001709;0.069231;0.036752;0.015385;0.138462;0.001709;0.008547;0.088889;0.003419;0.000855;0.000855;0.215385;0.112821;0.000855;0.027350;0.045299;0.096581;0.033333;0.000855;0.000855;0.000855;0.000855;0.000855;0.005983;0.000855;0.000855;0.000855
rm;0.001233;0.003699;0.003699;0.033292;0.113440;0.265105;0.003699;0.130703;0.003699;0.092478;0.001233;0.250308;0.001233;0.050555;0.012330;0.008631;0.001233;0.001233;0.001233;0.001233;0.001233;0.002466;0.001233;0.001233;0.001233;0.004932;0.001233;0.001233;0.001233;0.001233;0.001233;0.001233
rn;0.001127;0.001127;0.001127;0.028185;0.050733;0.219842;0.001127;0.182638;0.001127;0.177001;0.001127;0.110485;0.002255;0.047351;0.001127;0.005637;0.144307;0.001127;0.001127;0.001127;0.005637;0.003382;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127;0.001127
rk;0.001792;0.003584;0.001792;0.008961;0.120072;0.421147;0.008961;0.086022;0.001792;0.163082;0.001792;0.032258;0.001792;0.091398;0.005376;0.001792;0.003584;0.008961;0.001792;0.007168;0.003584;0.001792;0.001792;0.001792;0.001792;0.005376;0.001792;0.001792;0.001792;0.001792;0.001792;0.001792
rp;0.004878;0.004878;0.039024;0.214634;0.019512;0.043902;0.053659;0.019512;0.004878;0.087805;0.341463;0.039024;0.004878;0.019512;0.009756;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.014634;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878
rd;0.000828;0.000828;0.001656;0.007450;0.126656;0.466060;0.016556;0.082781;0.000828;0.140728;0.003311;0.048013;0.004967;0.078642;0.001656;0.002483;0.000828;0.000828;0.000828;0.003311;0.000828;0.001656;0.000828;0.000828;0.000828;0.000828;0.000828;0.000828;0.000828;0.000828;0.000828;0.000828
