smoothed;3
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
 r;0.000186;0.000186;0.553691;0.000186;0.000186;0.062453;0.000186;0.000186;0.000186;0.000373;0.001119;0.000559;0.072893;0.000186;0.000186;0.185309;0.000186;0.003542;0.000746;0.000373;0.000186;0.090604;0.024422;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186
 i;0.000048;0.000048;0.000095;0.003720;0.000668;0.000811;0.039489;0.175029;0.223150;0.000191;0.011494;0.197444;0.000334;0.005485;0.010588;0.000382;0.000048;0.000095;0.255866;0.030523;0.042970;0.000048;0.000048;0.000048;0.000715;0.000095;0.000048;0.000048;0.000286;0.000048;0.000048;0.000048;0.000048
 j;0.000413;0.000413;0.035066;0.000413;0.002063;0.265264;0.000413;0.000413;0.000413;0.000413;0.002063;0.000413;0.068482;0.000413;0.008663;0.008251;0.000413;0.000413;0.000413;0.000413;0.000413;0.599835;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413
 h;0.000092;0.000184;0.364929;0.000092;0.000092;0.120756;0.001101;0.000092;0.000092;0.000092;0.000092;0.000092;0.334190;0.000092;0.000275;0.148835;0.000092;0.000092;0.000092;0.000092;0.000092;0.022481;0.002753;0.000092;0.000092;0.002294;0.000092;0.000092;0.000184;0.000092;0.000092;0.000092;0.000092
 n;0.000190;0.000190;0.246956;0.000190;0.000190;0.608067;0.000190;0.000381;0.000190;0.000190;0.001142;0.000761;0.048706;0.000190;0.013699;0.031202;0.000190;0.000190;0.000190;0.000190;0.000951;0.042618;0.000190;0.000190;0.000190;0.001332;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190
 );0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 f;0.000161;0.000161;0.066957;0.027912;0.000161;0.407067;0.000161;0.001129;0.000161;0.000161;0.000484;0.000161;0.129397;0.000161;0.170378;0.142949;0.000161;0.000161;0.000161;0.000161;0.000161;0.038561;0.000161;0.000161;0.000161;0.011455;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161
 u;0.000459;0.000459;0.000459;0.021101;0.000459;0.000459;0.038991;0.000459;0.002752;0.291284;0.000459;0.257798;0.000459;0.000459;0.010092;0.000459;0.000459;0.032110;0.309633;0.000459;0.000459;0.000459;0.000459;0.005963;0.003670;0.001376;0.000459;0.000459;0.000459;0.015596;0.000459;0.000459;0.000459
 y;0.000150;0.000150;0.209904;0.000150;0.000150;0.779025;0.000150;0.000598;0.000150;0.000150;0.000150;0.000150;0.005685;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000598;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150;0.000150
 k;0.000278;0.000278;0.073476;0.000835;0.000278;0.049541;0.000278;0.001948;0.000278;0.000278;0.000278;0.000278;0.042026;0.000278;0.001392;0.158363;0.000278;0.001670;0.657946;0.000557;0.000278;0.004731;0.001670;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278
 g;0.000204;0.000611;0.199674;0.010595;0.000204;0.462510;0.000204;0.001222;0.000204;0.000611;0.000611;0.000204;0.039935;0.000204;0.087612;0.059902;0.000204;0.000815;0.000204;0.000204;0.000204;0.131214;0.000611;0.000204;0.000204;0.000204;0.000204;0.000204;0.000204;0.000204;0.000204;0.000204;0.000204
 b;0.000106;0.000106;0.445766;0.023903;0.000106;0.049718;0.000106;0.001062;0.000106;0.000106;0.000106;0.000319;0.100499;0.000106;0.055774;0.056093;0.000106;0.000212;0.000106;0.000106;0.000106;0.205779;0.057686;0.000106;0.000850;0.000212;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106
 z;0.012658;0.012658;0.177215;0.012658;0.012658;0.113924;0.012658;0.050633;0.063291;0.012658;0.012658;0.012658;0.025316;0.012658;0.012658;0.139241;0.012658;0.025316;0.012658;0.025316;0.012658;0.075949;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
 x;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.227273;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 q;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.027957;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.903226;0.002151;0.002151;0.002151;0.004301;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151;0.002151
 .;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 ,;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.435484;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.064516;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
 é;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
 #;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
t(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
tw;0.001406;0.001406;0.360056;0.001406;0.001406;0.383966;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.004219;0.001406;0.001406;0.210970;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406;0.001406
te;0.000114;0.000685;0.015522;0.069162;0.011299;0.000571;0.025679;0.191623;0.000114;0.012326;0.161835;0.093129;0.019973;0.015864;0.251198;0.006505;0.000114;0.000685;0.070418;0.032070;0.000913;0.001027;0.000342;0.000114;0.009929;0.000457;0.000114;0.007647;0.000114;0.000114;0.000114;0.000114;0.000114
tl;0.001416;0.001416;0.405099;0.039660;0.001416;0.004249;0.001416;0.001416;0.001416;0.001416;0.001416;0.001416;0.026912;0.001416;0.001416;0.025496;0.001416;0.001416;0.001416;0.001416;0.001416;0.001416;0.460340;0.001416;0.001416;0.001416;0.001416;0.001416;0.001416;0.001416;0.001416;0.001416;0.001416
tc;0.003268;0.003268;0.003268;0.006536;0.003268;0.075163;0.003268;0.045752;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.006536;0.003268;0.003268;0.764706;0.003268;0.009804;0.003268;0.003268;0.006536;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268
to;0.000102;0.009148;0.000203;0.014027;0.002135;0.028563;0.017178;0.650132;0.005286;0.014637;0.021041;0.000508;0.000102;0.000203;0.083452;0.000407;0.000102;0.000203;0.029986;0.100529;0.000203;0.012401;0.000203;0.000305;0.005591;0.002135;0.000102;0.000610;0.000102;0.000102;0.000102;0.000102;0.000102
tm;0.005102;0.005102;0.760204;0.005102;0.005102;0.035714;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.045918;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.010204;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102
t ;0.000032;0.092713;0.014912;0.023502;0.023438;0.073651;0.025609;0.002172;0.187500;0.023340;0.029305;0.050733;0.091935;0.003858;0.020488;0.116183;0.010989;0.058545;0.018510;0.000713;0.019385;0.007456;0.034913;0.012999;0.017084;0.038187;0.000065;0.000162;0.001199;0.000130;0.000227;0.000032;0.000032
tt;0.000517;0.000517;0.364718;0.120021;0.000517;0.060528;0.002069;0.082773;0.000517;0.000517;0.000517;0.007760;0.070874;0.000517;0.001552;0.168650;0.000517;0.002069;0.000517;0.013968;0.000517;0.001035;0.093637;0.000517;0.000517;0.000517;0.000517;0.000517;0.000517;0.000517;0.000517;0.000517;0.000517
tp;0.022222;0.022222;0.044444;0.088889;0.022222;0.155556;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
td;0.019231;0.019231;0.038462;0.019231;0.019231;0.153846;0.019231;0.173077;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.057692;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
ts;0.000190;0.000190;0.004752;0.000190;0.000190;0.001711;0.000760;0.848128;0.000570;0.000760;0.000190;0.000190;0.000380;0.000190;0.000190;0.007603;0.000190;0.000950;0.000190;0.127542;0.000190;0.000190;0.000760;0.000570;0.000190;0.001711;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190;0.000190
ta;0.000239;0.000239;0.000239;0.216830;0.038967;0.000239;0.001673;0.016256;0.169735;0.009084;0.000478;0.011236;0.000239;0.000478;0.103753;0.049486;0.000239;0.000478;0.163519;0.002869;0.010758;0.004781;0.013388;0.106622;0.022472;0.031317;0.000239;0.022950;0.000239;0.000239;0.000239;0.000239;0.000239
tv;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.493506;0.012987;0.012987;0.012987;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.090909;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
tr;0.000257;0.000257;0.059805;0.000257;0.000257;0.066992;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.160678;0.000257;0.000257;0.110626;0.000257;0.000257;0.000257;0.000257;0.000257;0.448152;0.146817;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257
ti;0.000118;0.000235;0.020686;0.031500;0.123883;0.357311;0.104843;0.002938;0.013987;0.006935;0.001528;0.018571;0.032793;0.052304;0.014222;0.000470;0.000118;0.000118;0.175129;0.000235;0.008228;0.000235;0.000235;0.000235;0.027033;0.000705;0.003644;0.000118;0.001175;0.000118;0.000118;0.000118;0.000118
tj;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
th;0.000027;0.000163;0.520208;0.000217;0.000244;0.023827;0.000163;0.051666;0.000081;0.000027;0.000461;0.002114;0.210919;0.000027;0.011548;0.166490;0.000027;0.000136;0.000163;0.008430;0.000108;0.001138;0.001464;0.000027;0.000027;0.000054;0.000027;0.000027;0.000081;0.000027;0.000027;0.000027;0.000027
tn;0.009524;0.009524;0.600000;0.009524;0.009524;0.047619;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.047619;0.009524;0.009524;0.028571;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524
t);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
tf;0.011364;0.011364;0.011364;0.034091;0.011364;0.397727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.022727;0.011364;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.204545;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
tu;0.000801;0.000801;0.028823;0.004804;0.016013;0.002402;0.008006;0.000801;0.044836;0.032826;0.068855;0.014412;0.328263;0.000801;0.300240;0.005604;0.000801;0.000801;0.050440;0.000801;0.066453;0.000801;0.000801;0.000801;0.000801;0.012810;0.000801;0.001601;0.000801;0.000801;0.000801;0.000801;0.000801
ty;0.000742;0.000742;0.003712;0.010393;0.000742;0.001485;0.001485;0.792131;0.000742;0.025984;0.000742;0.006682;0.000742;0.000742;0.002227;0.001485;0.000742;0.000742;0.001485;0.135115;0.001485;0.000742;0.000742;0.001485;0.000742;0.000742;0.000742;0.000742;0.000742;0.000742;0.000742;0.000742;0.000742
tk;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.333333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
tg;0.025641;0.025641;0.051282;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
tb;0.013158;0.013158;0.026316;0.013158;0.013158;0.065789;0.013158;0.013158;0.013158;0.013158;0.026316;0.013158;0.394737;0.013158;0.052632;0.026316;0.013158;0.013158;0.013158;0.013158;0.013158;0.052632;0.026316;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
tz;0.017241;0.017241;0.068966;0.017241;0.017241;0.017241;0.017241;0.310345;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.086207;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
tx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
tq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
t.;0.025000;0.025000;0.025000;0.025000;0.125000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
t,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
té;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
t#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
p(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pe;0.000255;0.000509;0.015530;0.007637;0.076884;0.341904;0.000255;0.034623;0.018075;0.000764;0.036405;0.007892;0.066955;0.000255;0.186354;0.000764;0.000255;0.000255;0.186354;0.006619;0.006365;0.000255;0.001527;0.000764;0.000509;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255;0.000255
pl;0.000384;0.000384;0.671533;0.000384;0.000384;0.033039;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.197849;0.000384;0.000384;0.056089;0.000384;0.000384;0.000384;0.000384;0.000384;0.005378;0.025740;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384
pc;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
po;0.000315;0.037748;0.007864;0.212016;0.009437;0.011010;0.010066;0.000944;0.032086;0.021705;0.054105;0.145014;0.001573;0.003775;0.218937;0.121736;0.000315;0.000315;0.087134;0.000315;0.000315;0.010066;0.000315;0.010066;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315
pm;0.021277;0.021277;0.319149;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
p ;0.000436;0.094718;0.015277;0.015277;0.033173;0.056744;0.012658;0.001746;0.165866;0.021825;0.042776;0.058053;0.139241;0.004801;0.020515;0.103012;0.013095;0.048450;0.011349;0.000436;0.036229;0.014404;0.026189;0.007420;0.010476;0.042340;0.000436;0.000436;0.000873;0.000436;0.000436;0.000436;0.000436
pt;0.002740;0.002740;0.095890;0.002740;0.005479;0.035616;0.002740;0.304110;0.002740;0.002740;0.002740;0.024658;0.049315;0.002740;0.002740;0.315068;0.002740;0.005479;0.002740;0.052055;0.002740;0.038356;0.013699;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740;0.002740
pp;0.000798;0.000798;0.461293;0.069433;0.000798;0.253791;0.000798;0.003192;0.000798;0.000798;0.000798;0.002394;0.053472;0.000798;0.071828;0.039904;0.000798;0.000798;0.000798;0.000798;0.000798;0.000798;0.024741;0.000798;0.000798;0.001596;0.000798;0.000798;0.000798;0.000798;0.000798;0.000798;0.000798
pd;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
ps;0.002075;0.002075;0.085062;0.002075;0.002075;0.002075;0.002075;0.661826;0.016598;0.002075;0.002075;0.002075;0.004149;0.002075;0.002075;0.008299;0.002075;0.010373;0.002075;0.149378;0.002075;0.002075;0.012448;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075
pa;0.000426;0.000426;0.000426;0.014055;0.077939;0.000426;0.000852;0.004259;0.042164;0.017888;0.007240;0.071124;0.000426;0.000852;0.392675;0.123509;0.000852;0.000426;0.062606;0.001278;0.000426;0.070698;0.060477;0.003833;0.026831;0.014480;0.000426;0.000426;0.000852;0.000426;0.000426;0.000426;0.000426
pv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pr;0.000337;0.000337;0.456815;0.000337;0.000337;0.414305;0.000337;0.001687;0.000337;0.000337;0.000337;0.000337;0.015182;0.000337;0.000337;0.097503;0.000337;0.000337;0.000337;0.000675;0.000337;0.004723;0.000675;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337
pi;0.001302;0.001302;0.139323;0.018229;0.141927;0.013021;0.001302;0.001302;0.100260;0.011719;0.057292;0.083333;0.005208;0.010417;0.127604;0.001302;0.001302;0.001302;0.251302;0.002604;0.001302;0.001302;0.001302;0.002604;0.002604;0.001302;0.009115;0.001302;0.002604;0.001302;0.001302;0.001302;0.001302
