smoothed;3
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
kl;0.005128;0.194872;0.005128;0.005128;0.005128;0.005128;0.292308;0.005128;0.005128;0.005128;0.005128;0.005128;0.005128;0.005128;0.025641;0.005128;0.005128;0.005128;0.005128;0.005128;0.005128;0.092308;0.005128;0.251282;0.005128;0.005128;0.005128;0.005128;0.005128;0.005128;0.005128;0.005128;0.005128
ks;0.000882;0.000882;0.000882;0.000882;0.823633;0.000882;0.000882;0.000882;0.000882;0.000882;0.001764;0.002646;0.000882;0.000882;0.012346;0.000882;0.000882;0.000882;0.012346;0.000882;0.119048;0.000882;0.005291;0.000882;0.000882;0.000882;0.000882;0.000882;0.000882;0.000882;0.000882;0.000882;0.000882
ko;0.002833;0.002833;0.016997;0.002833;0.022663;0.008499;0.002833;0.577904;0.016997;0.056657;0.002833;0.002833;0.093484;0.008499;0.039660;0.019830;0.002833;0.048159;0.014164;0.002833;0.005666;0.002833;0.008499;0.002833;0.011331;0.002833;0.002833;0.002833;0.002833;0.002833;0.002833;0.002833;0.002833
km;0.018182;0.418182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
kp;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.113636;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ku;0.010204;0.010204;0.010204;0.020408;0.010204;0.010204;0.010204;0.275510;0.010204;0.010204;0.010204;0.020408;0.030612;0.265306;0.010204;0.071429;0.051020;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
kt;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
kj;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
k);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ki;0.000271;0.000271;0.740771;0.075733;0.004615;0.000271;0.010315;0.012215;0.000271;0.014658;0.000271;0.000271;0.077090;0.022801;0.000271;0.022258;0.002986;0.000271;0.009501;0.000271;0.001086;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271;0.000271;0.000543;0.000271;0.000271;0.000271;0.000271
kh;0.016393;0.459016;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
ky;0.002545;0.030534;0.002545;0.007634;0.356234;0.002545;0.002545;0.010178;0.002545;0.002545;0.002545;0.002545;0.391858;0.017812;0.007634;0.002545;0.035623;0.005089;0.002545;0.002545;0.076336;0.002545;0.005089;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545
kf;0.017857;0.125000;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.053571;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.196429;0.017857;0.017857;0.017857;0.071429;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
kx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
kq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
kv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
kz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
k.;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
k,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
kö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
k#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
g(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ga;0.000335;0.000335;0.103622;0.005366;0.009725;0.000335;0.000335;0.062374;0.002012;0.005030;0.000335;0.019785;0.076123;0.016767;0.000335;0.052314;0.003689;0.000335;0.090208;0.000335;0.001006;0.447351;0.000335;0.037559;0.000335;0.000335;0.000335;0.049966;0.011737;0.000335;0.000335;0.000335;0.000335
gn;0.001328;0.051793;0.001328;0.001328;0.378486;0.001328;0.135458;0.001328;0.002656;0.001328;0.001328;0.001328;0.001328;0.035857;0.099602;0.003984;0.001328;0.006640;0.007968;0.001328;0.088977;0.159363;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328;0.001328
gd;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
g ;0.000059;0.143911;0.012588;0.018443;0.004625;0.057494;0.014227;0.017037;0.034309;0.019379;0.002283;0.007026;0.030972;0.037295;0.077459;0.029098;0.026288;0.019145;0.233607;0.007787;0.001230;0.102166;0.033958;0.028747;0.035304;0.000059;0.000937;0.003162;0.000059;0.000293;0.000937;0.000059;0.000059
gw;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ge;0.000164;0.000986;0.102071;0.035010;0.219264;0.000164;0.004931;0.089250;0.000164;0.000164;0.000164;0.000164;0.009862;0.056706;0.014464;0.002630;0.000164;0.000329;0.422584;0.000164;0.038297;0.000164;0.000329;0.000329;0.000164;0.000164;0.000164;0.000164;0.000164;0.000164;0.000164;0.000164;0.000164
gr;0.000387;0.266048;0.000387;0.000387;0.000387;0.000387;0.527456;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.153906;0.000387;0.000387;0.004640;0.000387;0.000387;0.000387;0.023975;0.000387;0.013534;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387
gb;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.326531;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
gc;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.372549;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
gk;0.025641;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
gg;0.001786;0.012500;0.001786;0.001786;0.023214;0.001786;0.492857;0.073214;0.001786;0.001786;0.001786;0.001786;0.098214;0.012500;0.012500;0.001786;0.007143;0.005357;0.001786;0.001786;0.005357;0.205357;0.001786;0.014286;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786
gl;0.001595;0.089314;0.001595;0.001595;0.001595;0.001595;0.555024;0.001595;0.001595;0.001595;0.001595;0.001595;0.001595;0.001595;0.043062;0.001595;0.001595;0.007974;0.001595;0.001595;0.001595;0.063796;0.001595;0.197767;0.001595;0.001595;0.001595;0.001595;0.001595;0.001595;0.001595;0.001595;0.001595
gs;0.000879;0.000879;0.000879;0.000879;0.827768;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.001757;0.000879;0.000879;0.000879;0.010545;0.000879;0.124780;0.007909;0.003515;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879;0.000879
go;0.000112;0.007649;0.284139;0.043307;0.159843;0.000112;0.029134;0.013836;0.000112;0.000112;0.000112;0.000675;0.016198;0.001687;0.109561;0.000562;0.002700;0.001350;0.146682;0.000112;0.022722;0.097300;0.000112;0.000112;0.000112;0.000112;0.000112;0.060855;0.000112;0.000112;0.000112;0.000112;0.000112
gm;0.004975;0.089552;0.004975;0.004975;0.024876;0.004975;0.701493;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.009950;0.034826;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
gp;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.100000;0.100000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
gu;0.000337;0.043508;0.081282;0.000337;0.000675;0.000337;0.167960;0.033727;0.000337;0.001012;0.000675;0.000337;0.112648;0.021585;0.001012;0.124452;0.000337;0.000337;0.006408;0.000337;0.000337;0.044857;0.000337;0.353794;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337;0.000337
gt;0.005780;0.011561;0.005780;0.005780;0.005780;0.005780;0.046243;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.618497;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.086705;0.075145;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780;0.005780
gj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
g);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gi;0.000389;0.069677;0.251460;0.002725;0.005060;0.000389;0.008953;0.024912;0.002725;0.050603;0.000389;0.011288;0.012845;0.058778;0.055274;0.022188;0.000389;0.000389;0.032698;0.000389;0.001168;0.000389;0.000389;0.000389;0.003503;0.000389;0.000389;0.365123;0.015181;0.000389;0.000389;0.000389;0.000389
gh;0.000187;0.012537;0.000749;0.000187;0.187874;0.000749;0.013660;0.000561;0.004678;0.001871;0.000187;0.000187;0.004865;0.002246;0.011228;0.000187;0.002058;0.000187;0.716692;0.000187;0.031811;0.005052;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187
gy;0.004065;0.004065;0.012195;0.004065;0.658537;0.004065;0.004065;0.012195;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.069106;0.012195;0.004065;0.004065;0.004065;0.126016;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065
gf;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.125000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
gx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gv;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
gz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
g.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
g,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
gö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
g#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
la;0.000167;0.000167;0.081261;0.016519;0.019523;0.048056;0.000167;0.217087;0.024195;0.100284;0.011847;0.004338;0.000167;0.103788;0.000167;0.021692;0.007175;0.040214;0.170199;0.000167;0.003838;0.038879;0.007842;0.062740;0.000667;0.000834;0.000167;0.012181;0.005006;0.000167;0.000167;0.000167;0.000167
ln;0.012987;0.012987;0.012987;0.012987;0.064935;0.012987;0.480519;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.025974;0.012987;0.012987;0.012987;0.038961;0.012987;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
ld;0.000175;0.000876;0.069751;0.000175;0.736418;0.001402;0.021556;0.011917;0.000526;0.000701;0.000175;0.000175;0.002103;0.015948;0.001928;0.009464;0.000175;0.001227;0.000175;0.000175;0.103400;0.015247;0.000526;0.000175;0.001227;0.000175;0.000175;0.003155;0.000175;0.000175;0.000175;0.000175;0.000175
l ;0.000080;0.077475;0.023434;0.035709;0.006297;0.050215;0.015065;0.031404;0.050853;0.034752;0.005978;0.026622;0.049498;0.068627;0.068468;0.030049;0.031086;0.007732;0.168420;0.010521;0.001355;0.089032;0.036665;0.045513;0.025187;0.000159;0.004543;0.004623;0.000080;0.000080;0.000319;0.000080;0.000080
lw;0.002370;0.919431;0.002370;0.002370;0.002370;0.002370;0.004739;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.004739;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370;0.002370
le;0.000063;0.084866;0.022051;0.049899;0.404675;0.001638;0.005985;0.014050;0.003465;0.040638;0.000189;0.042717;0.001134;0.062374;0.001071;0.030494;0.002961;0.000126;0.078377;0.000063;0.068737;0.000567;0.000378;0.004284;0.043599;0.019657;0.000126;0.015499;0.000063;0.000063;0.000063;0.000063;0.000063
lr;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.814356;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.007426;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.103960;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475;0.002475
lb;0.015385;0.046154;0.015385;0.015385;0.046154;0.015385;0.138462;0.015385;0.015385;0.015385;0.015385;0.015385;0.076923;0.015385;0.123077;0.015385;0.015385;0.092308;0.015385;0.030769;0.030769;0.030769;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
lc;0.007752;0.031008;0.007752;0.007752;0.031008;0.007752;0.007752;0.031008;0.007752;0.007752;0.023256;0.007752;0.007752;0.007752;0.472868;0.007752;0.007752;0.162791;0.007752;0.007752;0.007752;0.015504;0.031008;0.015504;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752
lk;0.000714;0.000714;0.001428;0.000714;0.372591;0.000714;0.045682;0.001428;0.002855;0.000714;0.000714;0.000714;0.000714;0.066381;0.001428;0.000714;0.000714;0.000714;0.000714;0.000714;0.067809;0.417559;0.000714;0.006424;0.000714;0.000714;0.000714;0.000714;0.000714;0.000714;0.000714;0.000714;0.000714
lg;0.010638;0.042553;0.010638;0.010638;0.010638;0.010638;0.021277;0.021277;0.170213;0.010638;0.010638;0.010638;0.010638;0.010638;0.404255;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.053191;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
ll;0.000062;0.050417;0.001543;0.000123;0.444986;0.000309;0.065782;0.000185;0.000741;0.000309;0.000123;0.000062;0.000062;0.016970;0.030855;0.000247;0.000247;0.004011;0.001419;0.000062;0.067016;0.081210;0.000123;0.232212;0.000309;0.000062;0.000062;0.000123;0.000062;0.000123;0.000062;0.000062;0.000062
ls;0.000520;0.002599;0.000520;0.000520;0.468295;0.000520;0.111746;0.000520;0.001559;0.002599;0.000520;0.000520;0.000520;0.001040;0.317048;0.000520;0.000520;0.001040;0.004678;0.000520;0.065489;0.008836;0.003638;0.001040;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520
