smoothed;3
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
i#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
m(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mi;0.000137;0.000137;0.000546;0.001365;0.002731;0.170672;0.000273;0.000410;0.001775;0.082196;0.000137;0.013244;0.092845;0.128209;0.000410;0.000137;0.000137;0.043555;0.323184;0.000137;0.000410;0.012835;0.093119;0.000137;0.007510;0.000137;0.000137;0.017886;0.004506;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137
mm;0.000531;0.295430;0.008502;0.054198;0.051010;0.000531;0.000531;0.079702;0.205101;0.000531;0.016472;0.199256;0.001594;0.000531;0.012221;0.000531;0.000531;0.000531;0.000531;0.062699;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531;0.000531
m ;0.000086;0.093293;0.020550;0.008512;0.138435;0.029235;0.039553;0.053568;0.007567;0.174635;0.035426;0.013672;0.070163;0.035942;0.001204;0.058383;0.022356;0.017283;0.049011;0.022184;0.028289;0.015477;0.035770;0.001462;0.000430;0.016079;0.006105;0.003353;0.000516;0.000516;0.000430;0.000086;0.000086;0.000086;0.000086;0.000086;0.000086
ma;0.000083;0.038041;0.000334;0.038959;0.000501;0.040711;0.003921;0.000584;0.000417;0.111537;0.002169;0.000250;0.036289;0.023692;0.007091;0.000083;0.005339;0.045716;0.200217;0.120547;0.000918;0.085092;0.041378;0.000083;0.003504;0.049721;0.000083;0.130975;0.011012;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000083;0.000167
ml;0.012658;0.113924;0.012658;0.012658;0.063291;0.012658;0.012658;0.126582;0.012658;0.012658;0.012658;0.139241;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.113924;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.050633;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
mb;0.000562;0.056805;0.000562;0.053431;0.111924;0.035996;0.000562;0.019685;0.010686;0.000562;0.000562;0.612486;0.043307;0.000562;0.012936;0.000562;0.000562;0.001687;0.002812;0.001125;0.000562;0.023622;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562;0.000562
mo;0.000115;0.001726;0.038656;0.012195;0.001496;0.004487;0.006328;0.006443;0.042453;0.033939;0.001726;0.000345;0.121491;0.140014;0.002531;0.000345;0.002876;0.032559;0.169696;0.000230;0.000115;0.290267;0.003566;0.000115;0.000230;0.000460;0.081454;0.002761;0.000460;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115
mu;0.000330;0.001319;0.028034;0.001649;0.000330;0.092018;0.001649;0.000330;0.000330;0.012203;0.000989;0.002309;0.287929;0.349274;0.000330;0.000330;0.002639;0.006596;0.136873;0.000330;0.000660;0.053100;0.013193;0.000330;0.000330;0.002639;0.000330;0.000660;0.000330;0.000330;0.000330;0.000330;0.000330;0.000330;0.000330;0.000330;0.000330
mt;0.021277;0.021277;0.021277;0.085106;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
mh;0.014286;0.014286;0.457143;0.014286;0.014286;0.014286;0.014286;0.042857;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
me;0.000041;0.000205;0.025161;0.318782;0.153623;0.007200;0.012355;0.015546;0.000041;0.049544;0.003355;0.009941;0.048439;0.002086;0.054740;0.004828;0.000164;0.044921;0.174324;0.000736;0.000245;0.065868;0.002209;0.000041;0.004991;0.000041;0.000123;0.000041;0.000082;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041
ms;0.000508;0.001017;0.001017;0.701068;0.000508;0.000508;0.001525;0.002034;0.000508;0.016268;0.001525;0.140824;0.000508;0.002542;0.094560;0.000508;0.000508;0.001017;0.010676;0.002034;0.003559;0.000508;0.000508;0.000508;0.000508;0.000508;0.000508;0.009151;0.000508;0.000508;0.000508;0.000508;0.000508;0.000508;0.000508;0.000508;0.000508
mc;0.003247;0.006494;0.016234;0.006494;0.032468;0.019481;0.003247;0.006494;0.003247;0.003247;0.003247;0.016234;0.016234;0.558442;0.003247;0.003247;0.003247;0.077922;0.012987;0.003247;0.003247;0.003247;0.055195;0.003247;0.003247;0.003247;0.009740;0.090909;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247;0.003247
m);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mw;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
mp;0.000184;0.015495;0.000369;0.213245;0.147205;0.260100;0.000738;0.110865;0.023796;0.042428;0.004981;0.064010;0.037078;0.000184;0.041690;0.000369;0.000184;0.000184;0.000184;0.000553;0.000184;0.033204;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184
md;0.012346;0.012346;0.049383;0.049383;0.012346;0.086420;0.012346;0.012346;0.061728;0.012346;0.012346;0.012346;0.333333;0.012346;0.024691;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.024691;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
mn;0.005917;0.159763;0.005917;0.337278;0.053254;0.005917;0.005917;0.005917;0.017751;0.005917;0.005917;0.171598;0.023669;0.005917;0.059172;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917
my;0.000411;0.000411;0.000411;0.744550;0.000411;0.001234;0.000411;0.001234;0.000411;0.019745;0.000411;0.000411;0.052242;0.000411;0.163307;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.005348;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411
mf;0.007519;0.007519;0.007519;0.052632;0.007519;0.007519;0.007519;0.563910;0.075188;0.007519;0.007519;0.022556;0.007519;0.007519;0.037594;0.007519;0.007519;0.007519;0.007519;0.015038;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
mr;0.005882;0.005882;0.005882;0.035294;0.135294;0.005882;0.005882;0.011765;0.005882;0.005882;0.005882;0.005882;0.058824;0.005882;0.023529;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.011765;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.547059;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882
mg;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mq;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mx;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mj;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mv;0.017544;0.017544;0.122807;0.105263;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.105263;0.052632;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
mk;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mz;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
m,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
m.;0.017241;0.017241;0.017241;0.293103;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.103448;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
mí;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
má;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
m#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
 (;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
 i;0.000014;0.001254;0.049293;0.203881;0.000214;0.005656;0.000028;0.000242;0.000014;0.200903;0.000043;0.000085;0.182483;0.002194;0.036100;0.000014;0.000513;0.015343;0.246050;0.000014;0.042967;0.004203;0.000442;0.000641;0.000014;0.000014;0.007038;0.000157;0.000071;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014
 m;0.000041;0.108959;0.001831;0.000407;0.262552;0.000163;0.001465;0.195866;0.064936;0.000163;0.000081;0.274351;0.001017;0.008259;0.000041;0.000041;0.000448;0.000610;0.000081;0.073806;0.000081;0.003906;0.000041;0.000041;0.000041;0.000041;0.000325;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041
  ;0.000472;0.079717;0.100000;0.038679;0.100000;0.012736;0.045755;0.079717;0.003774;0.095283;0.025472;0.012736;0.054245;0.020283;0.002830;0.058962;0.057547;0.030189;0.014623;0.104245;0.012264;0.015566;0.010849;0.000472;0.000472;0.006132;0.005189;0.005189;0.001415;0.000943;0.001415;0.000472;0.000472;0.000472;0.000472;0.000472;0.000472
 a;0.000013;0.002793;0.016377;0.189350;0.000114;0.075391;0.058609;0.000341;0.004827;0.044077;0.001479;0.000190;0.051533;0.032856;0.041512;0.005421;0.010691;0.012485;0.347259;0.000101;0.010413;0.070008;0.021773;0.000025;0.000152;0.000025;0.001693;0.000202;0.000076;0.000013;0.000126;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013
 l;0.000047;0.514447;0.000047;0.000141;0.107598;0.000891;0.000047;0.179550;0.009709;0.000047;0.000047;0.181191;0.000047;0.000094;0.000047;0.000188;0.000047;0.000047;0.000047;0.004737;0.000047;0.000047;0.000235;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047
 b;0.000033;0.056048;0.000066;0.001095;0.111266;0.026779;0.000265;0.056413;0.229667;0.000033;0.000133;0.390941;0.000630;0.000033;0.000232;0.000033;0.000066;0.000100;0.000033;0.058172;0.000033;0.067397;0.000033;0.000033;0.000033;0.000033;0.000033;0.000066;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033
 o;0.000024;0.001067;0.000545;0.000237;0.000284;0.006282;0.020268;0.000213;0.084461;0.029134;0.020055;0.000047;0.000522;0.004504;0.000047;0.011023;0.018703;0.001090;0.209150;0.000047;0.467560;0.080147;0.000047;0.000024;0.000853;0.000095;0.023089;0.020197;0.000095;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024
 u;0.000142;0.000567;0.037976;0.000709;0.001417;0.010628;0.003117;0.000142;0.000142;0.006518;0.048037;0.000142;0.264418;0.000992;0.000142;0.000283;0.278164;0.000142;0.319824;0.000142;0.000992;0.007227;0.000992;0.000142;0.000142;0.000283;0.000425;0.006802;0.000142;0.000142;0.008219;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142
 t;0.000008;0.013238;0.000255;0.000231;0.027399;0.000008;0.000016;0.177370;0.003756;0.000025;0.718601;0.017860;0.000222;0.000033;0.000041;0.008436;0.000074;0.000016;0.000016;0.003921;0.000008;0.027712;0.000016;0.000008;0.000008;0.000025;0.000577;0.000008;0.000008;0.000008;0.000041;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008
 h;0.000035;0.131495;0.000828;0.000173;0.375854;0.000035;0.000173;0.116659;0.028776;0.000035;0.000104;0.341212;0.000173;0.000104;0.000035;0.000035;0.000035;0.000035;0.000069;0.003485;0.000035;0.000069;0.000035;0.000069;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035
 e;0.000089;0.022448;0.046499;0.001247;0.062979;0.088544;0.000713;0.000267;0.013451;0.009888;0.000089;0.000891;0.036879;0.031890;0.000267;0.000178;0.005167;0.019330;0.138250;0.006146;0.021646;0.014431;0.004632;0.013718;0.184126;0.000356;0.273740;0.000089;0.001336;0.000089;0.000089;0.000089;0.000089;0.000089;0.000089;0.000089;0.000089
 s;0.000024;0.044794;0.006994;0.006566;0.138354;0.010015;0.000024;0.284487;0.061731;0.143516;0.096463;0.124795;0.000167;0.023622;0.000952;0.003901;0.036373;0.000190;0.001546;0.010776;0.000024;0.000024;0.000024;0.001189;0.000024;0.000119;0.000048;0.003021;0.000024;0.000024;0.000024;0.000024;0.000024;0.000048;0.000024;0.000024;0.000024
 c;0.000039;0.025651;0.000077;0.000617;0.267387;0.068042;0.000424;0.422064;0.031514;0.000077;0.081196;0.038187;0.000463;0.000231;0.000077;0.000116;0.000039;0.000077;0.001157;0.003394;0.000309;0.057281;0.000077;0.000039;0.000039;0.000039;0.000039;0.000039;0.000887;0.000039;0.000154;0.000039;0.000039;0.000039;0.000039;0.000039;0.000039
 );0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
 w;0.000020;0.122892;0.000059;0.000829;0.223789;0.000020;0.000020;0.102298;0.000039;0.000039;0.290625;0.245508;0.000020;0.000020;0.000138;0.000039;0.000020;0.000020;0.000039;0.000079;0.000039;0.013130;0.000020;0.000020;0.000020;0.000020;0.000020;0.000039;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020
 p;0.000045;0.032246;0.000135;0.000270;0.145019;0.063367;0.000585;0.183075;0.071158;0.000495;0.018105;0.233562;0.001756;0.000811;0.000270;0.000090;0.000180;0.000090;0.000135;0.000495;0.000045;0.245812;0.000225;0.000045;0.000045;0.000450;0.000045;0.000540;0.000045;0.000045;0.000540;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045
 d;0.000047;0.190140;0.001185;0.000853;0.072008;0.000711;0.000047;0.448685;0.022896;0.000853;0.000806;0.210239;0.002607;0.003081;0.000284;0.000427;0.000332;0.000237;0.002607;0.005546;0.000047;0.034795;0.000047;0.000047;0.000047;0.000711;0.000190;0.000047;0.000047;0.000047;0.000095;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047
 n;0.000067;0.033727;0.000067;0.000335;0.071879;0.000201;0.001274;0.621765;0.027826;0.000067;0.000201;0.233204;0.001140;0.000067;0.000134;0.000201;0.000067;0.001408;0.000067;0.000402;0.000335;0.004157;0.000201;0.000067;0.000067;0.000268;0.000134;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067;0.000067
 y;0.000045;0.000226;0.000045;0.000542;0.004244;0.000045;0.000045;0.817156;0.000361;0.000045;0.000045;0.175666;0.000090;0.000045;0.000090;0.000045;0.000271;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000090;0.000090;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045
 f;0.000053;0.142071;0.000106;0.000635;0.132070;0.024869;0.005873;0.389809;0.051590;0.000053;0.000053;0.063495;0.000053;0.000741;0.000159;0.000159;0.000106;0.001429;0.000053;0.000159;0.000053;0.185618;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053
 r;0.000061;0.249055;0.000061;0.000671;0.093975;0.000061;0.000061;0.057812;0.062752;0.000183;0.002927;0.526345;0.000061;0.000061;0.000366;0.000122;0.000061;0.000732;0.000488;0.002866;0.000061;0.000061;0.000061;0.000061;0.000061;0.000122;0.000061;0.000122;0.000061;0.000061;0.000122;0.000061;0.000122;0.000061;0.000061;0.000061;0.000061
 g;0.000059;0.057716;0.000533;0.000651;0.041496;0.016989;0.000059;0.463091;0.127035;0.000237;0.000888;0.201681;0.000118;0.000059;0.000118;0.000059;0.000059;0.000533;0.000118;0.000710;0.000118;0.086486;0.000059;0.000178;0.000059;0.000059;0.000118;0.000059;0.000059;0.000059;0.000059;0.000059;0.000118;0.000059;0.000059;0.000059;0.000118
