smoothed;3
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
az;0.000946;0.000946;0.000946;0.059603;0.000946;0.526017;0.000946;0.000946;0.000946;0.002838;0.003784;0.000946;0.059603;0.208136;0.000946;0.000946;0.000946;0.103122;0.000946;0.000946;0.000946;0.010407;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946;0.000946
ax;0.001597;0.017572;0.001597;0.148562;0.001597;0.123003;0.001597;0.001597;0.003195;0.539936;0.001597;0.001597;0.007987;0.003195;0.001597;0.001597;0.001597;0.001597;0.110224;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.003195;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597
av;0.000114;0.000114;0.000114;0.783632;0.000114;0.103326;0.000114;0.000114;0.000114;0.000343;0.000229;0.000114;0.066750;0.003543;0.000114;0.000114;0.000114;0.038176;0.000114;0.000114;0.000114;0.000114;0.000114;0.000686;0.000114;0.000114;0.000114;0.000114;0.000114;0.000114;0.000114;0.000229;0.000114;0.000114;0.000114;0.000114
af;0.000657;0.000657;0.050591;0.159658;0.000657;0.003942;0.000657;0.000657;0.508541;0.007227;0.001971;0.000657;0.003285;0.000657;0.000657;0.007884;0.000657;0.019711;0.001971;0.000657;0.000657;0.000657;0.000657;0.000657;0.216163;0.003285;0.000657;0.000657;0.000657;0.000657;0.000657;0.000657;0.000657;0.000657;0.000657;0.000657
al;0.000029;0.001176;0.010787;0.026925;0.057347;0.053408;0.012287;0.000147;0.017225;0.206696;0.006731;0.028424;0.009230;0.002792;0.000147;0.000558;0.011610;0.008524;0.049352;0.000265;0.002351;0.001088;0.000029;0.000412;0.009964;0.417389;0.064637;0.000088;0.000088;0.000118;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029
ak;0.000213;0.000213;0.000853;0.681741;0.012799;0.202432;0.003840;0.000853;0.000853;0.063567;0.000853;0.000213;0.003626;0.001280;0.004480;0.000213;0.000213;0.001920;0.007253;0.002346;0.000213;0.000213;0.000213;0.000213;0.005119;0.001280;0.001067;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213;0.000213
a.;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.333333;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
aj;0.003236;0.003236;0.003236;0.009709;0.003236;0.006472;0.003236;0.003236;0.003236;0.019417;0.009709;0.003236;0.009709;0.003236;0.003236;0.003236;0.003236;0.847896;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236;0.003236
aq;0.012500;0.012500;0.012500;0.012500;0.025000;0.037500;0.012500;0.012500;0.012500;0.325000;0.100000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.037500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.100000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
a,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
aé;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
aá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
aä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
aí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
a#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
y(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yp;0.003021;0.003021;0.006042;0.465257;0.006042;0.169184;0.006042;0.015106;0.105740;0.015106;0.003021;0.003021;0.009063;0.003021;0.012085;0.003021;0.003021;0.102719;0.003021;0.003021;0.003021;0.003021;0.003021;0.003021;0.003021;0.015106;0.003021;0.003021;0.003021;0.003021;0.003021;0.003021;0.003021;0.003021;0.003021;0.003021
yr;0.000595;0.000595;0.000595;0.871581;0.001784;0.071344;0.000595;0.000595;0.001189;0.001189;0.002378;0.000595;0.019620;0.000595;0.000595;0.000595;0.000595;0.013674;0.000595;0.000595;0.000595;0.000595;0.001189;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595;0.000595
ye;0.000263;0.002368;0.108947;0.027632;0.213421;0.001316;0.046842;0.001316;0.062895;0.032632;0.000263;0.001316;0.470263;0.000263;0.000263;0.000526;0.002632;0.001842;0.005000;0.001053;0.000263;0.000263;0.000263;0.000263;0.000263;0.014474;0.000789;0.000263;0.000263;0.000263;0.000263;0.000263;0.000263;0.000263;0.000263;0.000263
ys;0.000297;0.001188;0.000297;0.025253;0.003565;0.044563;0.000297;0.000594;0.080214;0.723708;0.000594;0.001485;0.000297;0.000297;0.000297;0.000297;0.000297;0.000594;0.108734;0.000297;0.000297;0.000297;0.000297;0.000297;0.002080;0.000594;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297;0.000297
yi;0.000420;0.000420;0.000420;0.003361;0.003782;0.000420;0.000420;0.976891;0.000420;0.000420;0.000420;0.001681;0.001261;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420;0.000420
yd;0.007092;0.007092;0.085106;0.078014;0.007092;0.049645;0.007092;0.007092;0.007092;0.312057;0.007092;0.007092;0.148936;0.007092;0.007092;0.007092;0.007092;0.063830;0.056738;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
yn;0.002762;0.002762;0.002762;0.052486;0.008287;0.055249;0.121547;0.337017;0.022099;0.102210;0.002762;0.002762;0.124309;0.005525;0.002762;0.002762;0.002762;0.011050;0.011050;0.002762;0.082873;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762
yt;0.000883;0.000883;0.000883;0.007061;0.000883;0.050309;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.907326;0.000883;0.000883;0.007061;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883;0.000883
y ;0.000019;0.030713;0.021677;0.016682;0.082016;0.086573;0.038739;0.020723;0.145864;0.003088;0.008141;0.030847;0.104208;0.016529;0.044993;0.027167;0.089585;0.055726;0.000896;0.042838;0.044974;0.000858;0.000057;0.005319;0.038225;0.022992;0.009532;0.000153;0.008617;0.001983;0.000172;0.000019;0.000019;0.000019;0.000019;0.000019
yu;0.018182;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.054545;0.018182;0.072727;0.018182;0.036364;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.200000;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
ym;0.002494;0.179551;0.002494;0.201995;0.004988;0.067332;0.002494;0.007481;0.002494;0.039900;0.002494;0.002494;0.022444;0.002494;0.002494;0.002494;0.002494;0.324190;0.002494;0.079800;0.007481;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494;0.002494
ya;0.002392;0.007177;0.045455;0.002392;0.011962;0.004785;0.007177;0.447368;0.019139;0.098086;0.002392;0.002392;0.004785;0.009569;0.083732;0.002392;0.002392;0.002392;0.014354;0.014354;0.011962;0.002392;0.002392;0.002392;0.009569;0.160287;0.004785;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392
yy;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yh;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
yg;0.013889;0.013889;0.180556;0.041667;0.013889;0.222222;0.027778;0.027778;0.013889;0.013889;0.055556;0.013889;0.027778;0.013889;0.027778;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
yw;0.002119;0.002119;0.012712;0.004237;0.002119;0.014831;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.294492;0.002119;0.226695;0.002119;0.002119;0.383475;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119;0.002119
yo;0.000043;0.000043;0.021736;0.000043;0.000773;0.000043;0.000043;0.024872;0.000215;0.000430;0.949568;0.000387;0.000043;0.000086;0.000043;0.000172;0.000043;0.000129;0.000043;0.000043;0.000043;0.000043;0.000043;0.000043;0.000387;0.000043;0.000086;0.000043;0.000172;0.000043;0.000043;0.000043;0.000043;0.000043;0.000043;0.000043
y);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yb;0.000876;0.000876;0.001753;0.448729;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.002629;0.000876;0.033304;0.000876;0.000876;0.000876;0.000876;0.486415;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876;0.000876
yc;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.019737;0.003289;0.184211;0.003289;0.003289;0.289474;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.401316;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289;0.003289
yz;0.015385;0.015385;0.015385;0.307692;0.015385;0.123077;0.015385;0.015385;0.015385;0.046154;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
yx;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yv;0.002625;0.002625;0.002625;0.902887;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.007874;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625;0.002625
yf;0.017857;0.017857;0.214286;0.017857;0.017857;0.071429;0.017857;0.017857;0.053571;0.053571;0.053571;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
yl;0.002660;0.002660;0.002660;0.239362;0.002660;0.053191;0.002660;0.002660;0.002660;0.023936;0.061170;0.002660;0.117021;0.002660;0.002660;0.002660;0.002660;0.037234;0.002660;0.002660;0.002660;0.002660;0.002660;0.077128;0.002660;0.316489;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660;0.002660
yk;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
y.;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
yj;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
y,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yé;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
y#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
h(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
hp;0.015385;0.015385;0.092308;0.015385;0.015385;0.061538;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.276923;0.015385;0.030769;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
hr;0.000455;0.000455;0.000455;0.353342;0.000455;0.180082;0.000455;0.000910;0.000455;0.006367;0.017281;0.000455;0.038199;0.000910;0.000455;0.000455;0.000455;0.387904;0.002274;0.000455;0.000910;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455;0.000455
he;0.000010;0.000021;0.150325;0.003136;0.040694;0.019694;0.006533;0.061558;0.006983;0.468003;0.000052;0.021230;0.016986;0.085297;0.000042;0.000031;0.000408;0.001244;0.097903;0.000240;0.007505;0.000178;0.000021;0.000251;0.000157;0.011331;0.000042;0.000010;0.000031;0.000021;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010
hs;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.005703;0.015209;0.771863;0.001901;0.001901;0.003802;0.001901;0.007605;0.001901;0.001901;0.003802;0.129278;0.001901;0.003802;0.001901;0.001901;0.001901;0.001901;0.003802;0.005703;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901;0.001901
hi;0.000034;0.022640;0.015449;0.007191;0.403420;0.000034;0.003062;0.307631;0.032893;0.000688;0.000034;0.049959;0.002168;0.000069;0.000034;0.018786;0.000034;0.004060;0.000103;0.001101;0.067850;0.000310;0.000034;0.000585;0.002202;0.058973;0.000069;0.000034;0.000310;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034
hd;0.010753;0.010753;0.193548;0.010753;0.021505;0.053763;0.010753;0.010753;0.010753;0.129032;0.010753;0.010753;0.258065;0.010753;0.010753;0.010753;0.010753;0.021505;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
hn;0.001393;0.001393;0.001393;0.075209;0.084958;0.098886;0.001393;0.004178;0.001393;0.486072;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393;0.116992;0.086351;0.001393;0.002786;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393;0.006964;0.001393;0.001393;0.001393;0.001393;0.001393;0.001393
ht;0.000145;0.000145;0.000145;0.029643;0.053037;0.012642;0.000145;0.000436;0.000581;0.758936;0.001017;0.001308;0.002616;0.007992;0.000581;0.000145;0.007701;0.000581;0.110433;0.000145;0.000436;0.000145;0.000145;0.000291;0.002906;0.006248;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145
h ;0.000063;0.027213;0.025086;0.014514;0.062809;0.110353;0.019393;0.013075;0.175602;0.004066;0.008633;0.047482;0.116609;0.026775;0.045918;0.022646;0.050297;0.078073;0.001126;0.055677;0.029152;0.001564;0.000250;0.004317;0.020394;0.012762;0.016015;0.000125;0.007632;0.001939;0.000125;0.000063;0.000063;0.000063;0.000063;0.000063
hu;0.000529;0.002644;0.164992;0.000529;0.062930;0.000529;0.002644;0.198837;0.085140;0.015865;0.000529;0.287678;0.003173;0.001058;0.006346;0.058699;0.000529;0.000529;0.001586;0.008990;0.062401;0.001058;0.000529;0.000529;0.014807;0.011105;0.001058;0.000529;0.000529;0.000529;0.000529;0.000529;0.000529;0.000529;0.000529;0.000529
